ig;nmo;id
"1,97";"38,5";318
"2,14";"42,62";319
"2,31";"50,51";320
"2,08";"54,55";321
"1,59";"34,68";322
"1,7";"37,15";323
"1,88";"38,12";324
"1,36";"21,54";325
"1,48";"21,24";327
"1,44";"22,33";328
"1,8";"34,59";329
"1,79";"38,59";330
"1,44";"35,46";331
"1,7";"28,89";334
"1,71";"35,2";335
"1,45";"24,33";337
"1,53";"33,58";346
"1,88";"33,63";347
"2,24";"30,28";349
"1,71";"27,92";350
"1,88";"35,58";351
"1,62";"29,25";352
"1,87";"28,3";355
"2,06";"36,6";357
"1,97";"47,37";359
"1,88";"45,65";360
"2,17";"27,46";361
"1,98";"40,43";362
"1,88";"44,51";365
"1,88";"56,41";368
"2,15";"42,67";369
"2,41";"67,4";370
"1,88";"33,76";371
"1,7";"25,3";372
"1,88";"43,95";375
"2,06";"45,78";376
"2,06";"41,11";377
"1,88";"34,42";378
"1,53";"39,88";379
"1,98";"38,16";381
"2,06";"35,34";382
"1,67";"43,64";383
"1,68";"34,69";384
"1,97";"32,52";385
"1,88";"34,07";386
"1,62";"36,54";387
"1,97";"44,68";388
"1,45";25;389
"1,78";"36,36";390
"1,49";"32,95";392
"1,98";"36,71";393
"1,99";"37,47";394
"1,4";"39,78";395
"2,06";"37,39";396
"1,71";"34,53";398
"1,5";"23,93";399
"1,44";"23,01";400
"1,88";33;401
"1,8";"46,93";402
"1,89";"36,91";403
"1,62";"33,28";404
"1,53";"21,36";405
"1,62";"28,4";406
"1,89";"34,11";407
"1,44";"30,18";410
"1,43";"26,39";411
"1,8";"34,29";412
"1,71";"40,98";413
"1,7";"26,96";414
"1,44";"30,16";417
"1,88";"50,45";418
"1,8";"42,31";419
"1,62";"35,16";420
"1,7";"41,64";421
"1,59";"49,62";422
"1,89";"42,86";423
"2,5";"49,13";424
"1,7";"40,49";425
"1,97";"38,91";426
"1,89";"49,42";427
"1,53";"21,43";428
"1,53";"26,64";431
"1,49";"31,33";433
"1,89";"37,45";434
"1,53";"27,32";435
"1,79";"43,95";436
"1,71";"41,82";437
"1,85";"33,51";438
"1,77";"27,97";439
"1,77";"35,73";440
"1,87";"53,69";441
"1,43";"30,4";442
"1,76";"35,11";443
"1,5";"26,46";444
"1,56";"32,23";445
"2,31";"48,93";446
"1,59";"37,33";447
"1,56";"39,82";448
