ig;nmo;id
"1,61";"43,91";314
"1,7";"43,15";315
"2,15";44;316
"1,88";"38,06";317
"1,96";"38,27";318
"2,14";"42,55";319
"2,31";"50,25";320
"2,07";"54,5";321
"1,58";"34,47";322
"1,7";"37,09";323
"1,88";"37,99";324
"1,35";"21,5";325
"1,47";"21,06";327
"1,43";"22,29";328
"1,79";"34,47";329
"1,78";"38,53";330
"1,43";"35,24";331
"1,7";"28,84";334
"1,71";"35,08";335
"1,44";"24,29";337
"1,52";"33,36";346
"1,87";"33,57";347
"2,23";"30,17";349
"1,7";"27,87";350
"1,87";"35,36";351
"1,61";"29,21";352
"1,86";"28,19";355
"2,05";"36,54";357
"1,96";"47,12";359
"1,87";"45,58";360
"2,17";"27,29";361
"1,97";"40,37";362
"1,87";"44,27";365
"1,87";"56,32";368
"2,15";"42,54";369
"2,4";"67,29";370
"1,87";"33,54";371
"1,7";"25,26";372
"1,88";"43,82";375
"2,05";"45,7";376
"2,05";"40,88";377
"1,87";"34,36";378
"1,53";"39,75";379
"1,97";"38,12";381
"2,05";"35,13";382
"1,66";"43,53";383
"1,68";"34,61";384
"1,96";"32,43";385
"1,88";"33,84";386
"1,61";"36,48";387
"1,97";"44,54";388
"1,44";"24,96";389
"1,77";"36,15";390
"1,48";"32,9";392
"1,98";"36,52";393
"1,98";"37,46";394
"1,39";"39,55";395
"2,05";"37,33";396
"1,71";"34,41";398
"1,49";"23,92";399
"1,43";"22,8";400
"1,88";"33,02";401
"1,79";"46,79";402
"1,88";"36,85";403
"1,61";"33,05";404
"1,52";"21,32";405
"1,62";"28,29";406
"1,88";"34,06";407
"1,43";"29,96";410
"1,42";"26,31";411
"1,79";"34,17";412
"1,7";"40,91";413
"1,7";"26,75";414
"1,43";"30,11";417
"1,88";"50,3";418
"1,79";"42,25";419
"1,61";"34,93";420
"1,7";"41,58";421
"1,59";"49,44";422
"1,88";"42,79";423
"2,49";"48,88";424
"1,7";"40,43";425
"1,97";"38,78";426
"1,88";"49,34";427
"1,52";"21,23";428
"1,52";"26,6";431
"1,48";"31,25";433
"1,88";"37,39";434
"1,52";"27,11";435
"1,78";"43,88";436
"1,71";"41,69";437
"1,84";"33,38";438
"1,76";"27,78";439
"1,76";"35,61";440
"1,86";"53,6";441
"1,41";"30,26";442
"1,75";"34,91";443
"1,49";"26,46";444
"1,56";"32,03";445
"2,3";"48,86";446
"1,58";"37,11";447
"1,55";"39,81";448
"1,54";"20,96";Tybata
